id_pedido_fantasma,id_pedido_original,fecha,id_cliente,lineas,importe_total
PED-90001,PED-00994,2024-12-09,CLI-0049,4,60.87
PED-90002,PED-00995,2024-12-09,CLI-0056,3,176.16
PED-90003,PED-00996,2024-12-09,CLI-0060,3,93.45
PED-90004,PED-00997,2024-12-09,CLI-0063,3,121.74
PED-90005,PED-00999,2024-12-09,CLI-0084,4,75.66
PED-90006,PED-01004,2024-12-09,CLI-0139,4,133.04
PED-90007,PED-01005,2024-12-09,CLI-0158,4,157.62
PED-90008,PED-01006,2024-12-09,CLI-0183,4,80.64
PED-90009,PED-01007,2024-12-09,CLI-0196,3,180.84
PED-90010,PED-01008,2024-12-09,CLI-0205,3,65.10
PED-90011,PED-01010,2024-12-09,CLI-0255,5,60.98
PED-90012,PED-01011,2024-12-09,CLI-0267,3,67.62
PED-90013,PED-01013,2024-12-09,CLI-0281,3,118.08
PED-90014,PED-01015,2024-12-09,CLI-0299,3,41.79
PED-90015,PED-01018,2024-12-10,CLI-0069,6,134.64
PED-90016,PED-01020,2024-12-10,CLI-0081,2,125.04
PED-90017,PED-01021,2024-12-10,CLI-0086,3,39.12
PED-90018,PED-01023,2024-12-10,CLI-0129,4,115.98
PED-90019,PED-01024,2024-12-10,CLI-0139,4,160.23
PED-90020,PED-01026,2024-12-10,CLI-0147,5,241.20
PED-90021,PED-01027,2024-12-10,CLI-0162,2,81.60
PED-90022,PED-01028,2024-12-10,CLI-0200,6,145.28
PED-90023,PED-01029,2024-12-10,CLI-0219,4,130.44
PED-90024,PED-01030,2024-12-10,CLI-0228,3,52.96
PED-90025,PED-01032,2024-12-10,CLI-0249,4,122.96
PED-90026,PED-01033,2024-12-10,CLI-0263,5,167.10
PED-90027,PED-01034,2024-12-10,CLI-0280,6,152.81
PED-90028,PED-01035,2024-12-10,CLI-0288,2,29.04
PED-90029,PED-01038,2024-12-11,CLI-0042,2,21.00
PED-90030,PED-01039,2024-12-11,CLI-0043,6,165.16
PED-90031,PED-01040,2024-12-11,CLI-0055,5,83.20
PED-90032,PED-01041,2024-12-11,CLI-0062,3,79.62
PED-90033,PED-01042,2024-12-11,CLI-0110,4,180.60
PED-90034,PED-01044,2024-12-11,CLI-0129,7,285.84
PED-90035,PED-01046,2024-12-11,CLI-0195,4,63.44
PED-90036,PED-01047,2024-12-11,CLI-0209,4,70.14
PED-90037,PED-01048,2024-12-11,CLI-0234,3,116.52
PED-90038,PED-01050,2024-12-11,CLI-0277,2,35.55
PED-90039,PED-01051,2024-12-11,CLI-0283,7,214.41
PED-90040,PED-01052,2024-12-11,CLI-0294,3,98.16
PED-90041,PED-01054,2024-12-12,CLI-0040,5,84.75
PED-90042,PED-01055,2024-12-12,CLI-0066,7,167.71
PED-90043,PED-01056,2024-12-12,CLI-0084,4,168.60
PED-90044,PED-01061,2024-12-12,CLI-0154,3,59.52
PED-90045,PED-01063,2024-12-12,CLI-0194,1,60.48
PED-90046,PED-01064,2024-12-12,CLI-0207,3,45.78
PED-90047,PED-01065,2024-12-12,CLI-0233,2,24.36
PED-90048,PED-01066,2024-12-12,CLI-0248,3,170.04
PED-90049,PED-01067,2024-12-12,CLI-0272,3,103.80
PED-90050,PED-01068,2024-12-12,CLI-0280,7,162.15
PED-90051,PED-01069,2024-12-12,CLI-0283,4,163.92
PED-90052,PED-01070,2024-12-12,CLI-0299,3,108.48
PED-90053,PED-01071,2024-12-13,CLI-0046,5,173.08
PED-90054,PED-01073,2024-12-13,CLI-0066,3,108.48
PED-90055,PED-01074,2024-12-13,CLI-0094,6,112.46
PED-90056,PED-01075,2024-12-13,CLI-0098,5,110.46
PED-90057,PED-01076,2024-12-13,CLI-0104,5,138.84
PED-90058,PED-01078,2024-12-13,CLI-0139,4,101.28
PED-90059,PED-01079,2024-12-13,CLI-0165,3,41.07
PED-90060,PED-01080,2024-12-13,CLI-0201,5,93.64
PED-90061,PED-01081,2024-12-13,CLI-0244,3,59.64
PED-90062,PED-01082,2024-12-13,CLI-0257,5,166.12
