id_ticket,categoria_sucia,categoria_real
TCK-0001,Consulta,entrega-sin-aviso
TCK-0002,Otros,informacion-producto
TCK-0003,Info,otros
TCK-0004,Entrega,entrega-sin-aviso
TCK-0005,Info,cambio-datos
TCK-0006,Reparto,entrega-sin-aviso
TCK-0007,Info,informacion-producto
TCK-0008,Consulta,informacion-producto
TCK-0009,Consulta,cambio-datos
TCK-0010,Reparto,entrega-retraso
TCK-0011,Entrega,otros
TCK-0012,Datos cliente,cambio-datos
TCK-0013,Entrega,entrega-sin-aviso
TCK-0014,Datos cliente,cambio-datos
TCK-0015,Producto,producto-defectuoso
TCK-0016,Calidad producto,producto-defectuoso
TCK-0017,entregas,entrega-sin-aviso
TCK-0018,Producto,producto-defectuoso
TCK-0019,Otros,entrega-sin-aviso
TCK-0020,Entrega,producto-defectuoso
TCK-0021,Producto,producto-defectuoso
TCK-0022,Entrega,entrega-retraso
TCK-0023,Facturación,pedido-erroneo
TCK-0024,Consulta,pedido-erroneo
TCK-0025,Entrega,entrega-retraso
TCK-0026,Entrega,entrega-retraso
TCK-0027,Entrega,entrega-sin-aviso
TCK-0028,Consulta,informacion-producto
TCK-0029,Reparto,entrega-sin-aviso
TCK-0030,entregas,entrega-retraso
TCK-0031,,entrega-sin-aviso
TCK-0032,Entrega,pedido-erroneo
TCK-0033,Otros,producto-defectuoso
TCK-0034,entregas,entrega-sin-aviso
TCK-0035,Consulta,otros
TCK-0036,Producto,producto-defectuoso
TCK-0037,Entrega,entrega-sin-aviso
TCK-0038,Consulta,pedido-erroneo
TCK-0039,Pedidos,pedido-erroneo
TCK-0040,Entrega,entrega-retraso
TCK-0041,Reparto,entrega-retraso
TCK-0042,Entrega,pedido-erroneo
TCK-0043,Pedidos,pedido-erroneo
TCK-0044,entregas,entrega-retraso
TCK-0045,Facturación,informacion-producto
TCK-0046,Consulta,informacion-producto
TCK-0047,Pedidos,pedido-erroneo
TCK-0048,Consulta,informacion-producto
TCK-0049,Entrega,pedido-erroneo
TCK-0050,Datos cliente,cambio-datos
TCK-0051,Otros,cambio-datos
TCK-0052,Consulta,informacion-producto
TCK-0053,Otros,pedido-erroneo
TCK-0054,Consulta,informacion-producto
TCK-0055,Consulta,entrega-retraso
TCK-0056,Reparto,entrega-retraso
TCK-0057,Info,informacion-producto
TCK-0058,Info,informacion-producto
TCK-0059,Consulta,pedido-erroneo
TCK-0060,Incidencia facturación,pedido-erroneo
TCK-0061,Entrega,pedido-erroneo
TCK-0062,Entrega,entrega-retraso
TCK-0063,Calidad producto,producto-defectuoso
TCK-0064,Facturación,entrega-retraso
TCK-0065,Consulta,cambio-datos
TCK-0066,Pedidos,pedido-erroneo
TCK-0067,Info,informacion-producto
TCK-0068,Facturación,facturacion-redondeo
TCK-0069,Consulta,entrega-sin-aviso
TCK-0070,Producto,informacion-producto
TCK-0071,Pedidos,pedido-erroneo
TCK-0072,Incidencia facturación,pedido-erroneo
TCK-0073,Info,informacion-producto
TCK-0074,Pedidos,pedido-erroneo
